% Time Stamp, Integration Time, Reference Current,Diode 1, Diode 2, Diode 3, Diode 4, Diode 5, Diode 6, Diode 7, Diode 8,
2024-May-20_14:32:33.357, 8mS, 80nA,103,163,197,220,153,94,113,2271, 
2024-May-20_14:32:33.477, 8mS, 80nA,105,164,198,220,153,95,113,2329, 
2024-May-20_14:32:33.607, 8mS, 80nA,102,162,196,218,152,93,112,2233, 
2024-May-20_14:32:33.727, 8mS, 80nA,105,165,198,221,154,95,113,2336, 
2024-May-20_14:32:33.857, 8mS, 80nA,105,165,198,221,153,94,113,2284, 
2024-May-20_14:32:33.980, 8mS, 80nA,101,162,196,218,152,93,113,2216, 
2024-May-20_14:32:34.100, 8mS, 80nA,104,164,198,221,154,95,113,2298, 
2024-May-20_14:32:34.231, 8mS, 80nA,105,164,198,221,154,95,114,2315, 
2024-May-20_14:32:34.351, 8mS, 80nA,101,162,196,218,153,93,113,2222, 
2024-May-20_14:32:34.481, 8mS, 80nA,103,163,197,220,153,94,113,2259, 
2024-May-20_14:32:34.603, 8mS, 80nA,106,166,199,222,155,96,114,2339, 
2024-May-20_14:32:34.733, 8mS, 80nA,102,163,197,219,153,93,113,2222, 
2024-May-20_14:32:34.853, 8mS, 80nA,106,166,199,223,155,96,114,2335, 
2024-May-20_14:32:34.983, 8mS, 80nA,104,164,197,220,153,94,113,2289, 
2024-May-20_14:32:35.103, 8mS, 80nA,101,162,196,219,153,93,113,2213, 
2024-May-20_14:32:35.233, 8mS, 80nA,104,165,199,222,154,95,114,2293, 
2024-May-20_14:32:35.353, 8mS, 80nA,105,165,198,221,153,94,113,2238, 
2024-May-20_14:32:35.474, 8mS, 80nA,102,162,197,219,153,94,113,2227, 
2024-May-20_14:32:35.604, 8mS, 80nA,106,166,199,222,155,96,114,2347, 
2024-May-20_14:32:35.734, 8mS, 80nA,103,163,197,220,153,94,113,2266, 
2024-May-20_14:32:35.854, 8mS, 80nA,102,163,197,220,153,94,113,2225, 
2024-May-20_14:32:35.974, 8mS, 80nA,105,165,199,222,155,95,114,2326, 
2024-May-20_14:32:36.104, 8mS, 80nA,104,165,198,221,153,94,113,2229, 
2024-May-20_14:32:36.224, 8mS, 80nA,101,163,197,219,153,94,113,2221, 
2024-May-20_14:32:36.354, 8mS, 80nA,106,166,200,223,155,96,115,2350, 
2024-May-20_14:32:36.474, 8mS, 80nA,106,166,200,223,155,96,114,2341, 
2024-May-20_14:32:36.604, 8mS, 80nA,102,163,198,220,154,94,113,2235, 
2024-May-20_14:32:36.724, 8mS, 80nA,106,166,200,224,155,96,115,2345, 
2024-May-20_14:32:36.854, 8mS, 80nA,104,164,198,221,154,95,114,2284, 
2024-May-20_14:32:36.976, 8mS, 80nA,101,163,197,220,153,94,113,2219, 
2024-May-20_14:32:37.106, 8mS, 80nA,105,165,199,222,155,95,114,2334, 
2024-May-20_14:32:37.226, 8mS, 80nA,105,165,199,222,154,95,114,2319, 
2024-May-20_14:32:37.356, 8mS, 80nA,103,164,199,222,155,95,114,2264, 
2024-May-20_14:32:37.476, 8mS, 80nA,106,166,200,223,155,96,115,2353, 
2024-May-20_14:32:37.606, 8mS, 80nA,103,164,198,220,154,95,114,2264, 
2024-May-20_14:32:37.726, 8mS, 80nA,105,166,200,223,155,96,114,2329, 
2024-May-20_14:32:37.856, 8mS, 80nA,105,166,200,223,155,96,115,2336, 
2024-May-20_14:32:37.976, 8mS, 80nA,102,163,198,220,154,94,114,2229, 
2024-May-20_14:32:38.106, 8mS, 80nA,104,165,199,222,155,95,114,2285, 
2024-May-20_14:32:38.226, 8mS, 80nA,106,167,201,224,156,96,115,2351, 
2024-May-20_14:32:38.356, 8mS, 80nA,103,164,198,221,154,95,114,2250, 
2024-May-20_14:32:38.476, 8mS, 80nA,103,164,199,222,156,97,115,2356, 
2024-May-20_14:32:38.606, 8mS, 80nA,106,167,201,225,156,97,115,2355, 
2024-May-20_14:32:38.726, 8mS, 80nA,102,163,198,221,154,94,114,2228, 
2024-May-20_14:32:38.856, 8mS, 80nA,105,167,201,225,156,96,115,2316, 
2024-May-20_14:32:38.978, 8mS, 80nA,105,166,200,223,155,96,115,2333, 
2024-May-20_14:32:39.108, 8mS, 80nA,102,164,198,221,154,95,114,2238, 
2024-May-20_14:32:39.228, 8mS, 80nA,104,165,200,223,156,96,115,2362, 
2024-May-20_14:32:39.358, 8mS, 80nA,106,167,201,224,156,96,115,2360, 
2024-May-20_14:32:39.478, 8mS, 80nA,102,164,199,222,155,95,114,2240, 
2024-May-20_14:32:39.608, 8mS, 80nA,103,165,200,223,155,95,115,2258, 
2024-May-20_14:32:39.728, 8mS, 80nA,105,166,200,223,156,96,115,2314, 
2024-May-20_14:32:39.858, 8mS, 80nA,102,164,199,222,155,95,115,2238, 
2024-May-20_14:32:39.978, 8mS, 80nA,105,166,201,224,156,96,115,2308, 
2024-May-20_14:32:40.108, 8mS, 80nA,106,167,201,225,157,97,116,2348, 
2024-May-20_14:32:40.228, 8mS, 80nA,103,164,199,222,155,95,115,2255, 
2024-May-20_14:32:40.358, 8mS, 80nA,103,165,200,223,155,95,115,2272, 
2024-May-20_14:32:40.478, 8mS, 80nA,104,165,199,222,155,95,115,2278, 
2024-May-20_14:32:40.608, 8mS, 80nA,102,164,199,222,155,95,114,2234, 
2024-May-20_14:32:40.728, 8mS, 80nA,106,167,201,225,156,96,115,2332, 
2024-May-20_14:32:40.858, 8mS, 80nA,104,164,199,221,155,95,114,2302, 
2024-May-20_14:32:40.978, 8mS, 80nA,101,162,197,219,155,95,114,2258, 
2024-May-20_14:32:41.108, 8mS, 80nA,103,164,198,222,155,95,114,2272, 
2024-May-20_14:32:41.228, 8mS, 80nA,101,161,196,218,153,94,113,2224, 
2024-May-20_14:32:41.358, 8mS, 80nA,101,161,196,219,153,94,113,2216, 
2024-May-20_14:32:41.478, 8mS, 80nA,104,163,197,221,154,95,113,2311, 
2024-May-20_14:32:41.608, 8mS, 80nA,102,161,195,218,153,94,113,2246, 
2024-May-20_14:32:41.728, 8mS, 80nA,100,160,195,217,152,93,112,2188, 
2024-May-20_14:32:41.858, 8mS, 80nA,103,162,197,220,153,94,113,2277, 
2024-May-20_14:32:41.978, 8mS, 80nA,100,160,194,217,152,93,112,2190, 
2024-May-20_14:32:42.108, 8mS, 80nA,100,159,194,217,152,93,112,2221, 
2024-May-20_14:32:42.228, 8mS, 80nA,104,163,197,220,154,95,113,2305, 
2024-May-20_14:32:42.358, 8mS, 80nA,101,160,195,217,152,93,112,2216, 
2024-May-20_14:32:42.478, 8mS, 80nA,100,160,195,218,152,93,112,2197, 
2024-May-20_14:32:42.608, 8mS, 80nA,104,163,197,221,154,95,114,2303, 
2024-May-20_14:32:42.728, 8mS, 80nA,100,160,194,217,152,93,112,2184, 
2024-May-20_14:32:42.858, 8mS, 80nA,100,160,195,217,154,95,113,2261, 
2024-May-20_14:32:42.978, 8mS, 80nA,103,162,196,219,153,94,113,2291, 
2024-May-20_14:32:43.108, 8mS, 80nA,100,160,194,217,152,93,112,2196, 
2024-May-20_14:32:43.228, 8mS, 80nA,101,161,196,219,153,94,113,2227, 
2024-May-20_14:32:43.358, 8mS, 80nA,104,163,197,220,154,95,113,2309, 
2024-May-20_14:32:43.478, 8mS, 80nA,101,161,195,218,153,93,113,2195, 
2024-May-20_14:32:43.608, 8mS, 80nA,101,161,196,219,153,94,113,2204, 
2024-May-20_14:32:43.728, 8mS, 80nA,103,162,197,219,153,94,113,2273, 
2024-May-20_14:32:43.858, 8mS, 80nA,100,161,196,218,153,93,113,2196, 
2024-May-20_14:32:43.978, 8mS, 80nA,103,163,197,220,154,95,113,2266, 
2024-May-20_14:32:44.108, 8mS, 80nA,104,164,198,221,155,95,114,2312, 
2024-May-20_14:32:44.228, 8mS, 80nA,101,162,197,219,154,94,113,2227, 
2024-May-20_14:32:44.358, 8mS, 80nA,102,163,198,221,154,95,114,2247, 
2024-May-20_14:32:44.478, 8mS, 80nA,103,164,199,221,155,95,114,2270, 
2024-May-20_14:32:44.608, 8mS, 80nA,103,164,199,222,155,95,114,2231, 
2024-May-20_14:32:44.728, 8mS, 80nA,107,168,203,227,158,97,116,2349, 
2024-May-20_14:32:44.858, 8mS, 80nA,106,167,202,225,157,96,116,2336, 
2024-May-20_14:32:44.978, 8mS, 80nA,103,165,200,223,157,96,116,2303, 
2024-May-20_14:32:45.108, 8mS, 80nA,106,168,202,226,157,97,116,2318, 
2024-May-20_14:32:45.228, 8mS, 80nA,104,166,201,224,156,96,115,2287, 
2024-May-20_14:32:45.358, 8mS, 80nA,104,165,200,223,157,96,115,2280, 
2024-May-20_14:32:45.478, 8mS, 80nA,106,167,202,225,156,97,115,2359, 
2024-May-20_14:32:45.608, 8mS, 80nA,104,165,199,222,155,95,114,2291, 
2024-May-20_14:32:45.728, 8mS, 80nA,102,164,199,222,155,95,114,2235, 
2024-May-20_14:32:45.858, 8mS, 80nA,105,166,201,224,156,96,115,2327, 
2024-May-20_14:32:45.978, 8mS, 80nA,105,166,200,223,155,95,114,2241, 
2024-May-20_14:32:46.108, 8mS, 80nA,102,163,198,221,155,95,114,2234, 
2024-May-20_14:32:46.228, 8mS, 80nA,107,167,201,225,156,97,115,2363, 
2024-May-20_14:32:46.358, 8mS, 80nA,103,164,199,222,155,95,114,2278, 
2024-May-20_14:32:46.478, 8mS, 80nA,103,164,199,222,155,95,114,2260, 
2024-May-20_14:32:46.608, 8mS, 80nA,107,168,202,226,157,97,116,2365, 
2024-May-20_14:32:46.728, 8mS, 80nA,105,166,201,223,155,95,115,2244, 
2024-May-20_14:32:46.858, 8mS, 80nA,103,165,200,223,156,95,115,2248, 
2024-May-20_14:32:46.980, 8mS, 80nA,106,167,202,225,157,97,116,2360, 
2024-May-20_14:32:47.106, 8mS, 80nA,106,167,202,225,156,96,115,2264, 
2024-May-20_14:32:47.227, 8mS, 80nA,105,167,202,225,157,96,116,2296, 
2024-May-20_14:32:47.357, 8mS, 80nA,107,168,203,226,157,97,116,2379, 
2024-May-20_14:32:47.477, 8mS, 80nA,104,166,201,224,156,96,115,2288, 
2024-May-20_14:32:47.608, 8mS, 80nA,104,166,201,224,157,96,115,2279, 
2024-May-20_14:32:47.728, 8mS, 80nA,106,167,202,225,157,97,116,2338, 
2024-May-20_14:32:47.858, 8mS, 80nA,106,167,202,225,156,96,115,2265, 
2024-May-20_14:32:47.978, 8mS, 80nA,106,167,202,226,157,97,116,2336, 
2024-May-20_14:32:48.108, 8mS, 80nA,108,169,203,226,158,98,116,2390, 
2024-May-20_14:32:48.229, 8mS, 80nA,105,166,201,224,156,96,115,2292, 
2024-May-20_14:32:48.349, 8mS, 80nA,105,167,202,225,157,96,116,2322, 
2024-May-20_14:32:48.480, 8mS, 80nA,106,167,202,225,157,97,116,2345, 
2024-May-20_14:32:48.600, 8mS, 80nA,106,167,202,225,157,97,116,2334, 
2024-May-20_14:32:48.730, 8mS, 80nA,108,170,204,228,159,98,117,2401, 
2024-May-20_14:32:48.850, 8mS, 80nA,109,170,205,229,158,97,116,2379, 
2024-May-20_14:32:48.981, 8mS, 80nA,104,166,201,224,157,96,116,2287, 
2024-May-20_14:32:49.101, 8mS, 80nA,107,168,203,227,158,97,116,2352, 
2024-May-20_14:32:49.231, 8mS, 80nA,108,169,203,227,158,98,116,2403, 
2024-May-20_14:32:49.351, 8mS, 80nA,105,166,201,224,156,96,115,2299, 
2024-May-20_14:32:49.481, 8mS, 80nA,105,167,202,226,158,98,116,2405, 
2024-May-20_14:32:49.601, 8mS, 80nA,108,169,203,227,158,98,116,2400, 
2024-May-20_14:32:49.731, 8mS, 80nA,104,165,200,223,156,95,115,2262, 
2024-May-20_14:32:49.851, 8mS, 80nA,106,167,201,225,156,96,115,2347, 
2024-May-20_14:32:49.983, 8mS, 80nA,105,165,200,223,155,96,114,2319, 
2024-May-20_14:32:50.104, 8mS, 80nA,101,162,197,220,154,94,113,2218, 
2024-May-20_14:32:50.230, 8mS, 80nA,103,164,198,221,155,96,114,2338, 
2024-May-20_14:32:50.350, 8mS, 80nA,106,166,200,223,155,96,114,2342, 
2024-May-20_14:32:50.480, 8mS, 80nA,102,163,198,220,154,94,113,2244, 
2024-May-20_14:32:50.600, 8mS, 80nA,107,167,201,225,156,97,115,2357, 
2024-May-20_14:32:50.730, 8mS, 80nA,104,164,199,221,154,95,114,2296, 
2024-May-20_14:32:50.850, 8mS, 80nA,102,163,198,221,154,94,114,2240, 
2024-May-20_14:32:50.980, 8mS, 80nA,107,168,202,226,156,96,115,2361, 
2024-May-20_14:32:51.100, 8mS, 80nA,106,167,202,224,156,96,115,2348, 
2024-May-20_14:32:51.230, 8mS, 80nA,105,167,202,225,156,96,115,2303, 
2024-May-20_14:32:51.350, 8mS, 80nA,106,168,203,227,158,97,116,2391, 
2024-May-20_14:32:51.480, 8mS, 80nA,104,166,201,224,156,96,115,2290, 
2024-May-20_14:32:51.600, 8mS, 80nA,104,166,201,225,157,96,116,2270, 
2024-May-20_14:32:51.730, 8mS, 80nA,107,168,203,226,157,97,116,2369, 
2024-May-20_14:32:51.850, 8mS, 80nA,105,166,201,223,156,96,115,2307, 
2024-May-20_14:32:51.980, 8mS, 80nA,105,167,201,225,156,96,115,2319, 
2024-May-20_14:32:52.100, 8mS, 80nA,106,168,202,225,157,97,116,2347, 
2024-May-20_14:32:52.230, 8mS, 80nA,103,165,200,222,155,95,115,2256, 
2024-May-20_14:32:52.350, 8mS, 80nA,104,166,201,224,156,96,115,2291, 
2024-May-20_14:32:52.480, 8mS, 80nA,108,169,203,226,157,97,116,2377, 
2024-May-20_14:32:52.600, 8mS, 80nA,104,165,200,222,155,95,114,2279, 
2024-May-20_14:32:52.730, 8mS, 80nA,107,168,202,226,157,97,115,2356, 
2024-May-20_14:32:52.850, 8mS, 80nA,103,165,200,223,157,97,116,2371, 
2024-May-20_14:32:52.980, 8mS, 80nA,103,164,199,222,155,95,114,2244, 
2024-May-20_14:32:53.100, 8mS, 80nA,106,167,202,225,156,96,115,2324, 
2024-May-20_14:32:53.230, 8mS, 80nA,106,167,201,224,156,96,115,2351, 
2024-May-20_14:32:53.350, 8mS, 80nA,103,164,199,222,155,95,114,2252, 
2024-May-20_14:32:53.480, 8mS, 80nA,104,166,200,224,156,97,115,2371, 
2024-May-20_14:32:53.600, 8mS, 80nA,107,167,202,225,156,96,115,2368, 
2024-May-20_14:32:53.730, 8mS, 80nA,103,165,199,222,155,95,114,2249, 
2024-May-20_14:32:53.850, 8mS, 80nA,103,165,199,223,156,96,115,2352, 
2024-May-20_14:32:53.980, 8mS, 80nA,105,166,200,223,155,96,115,2319, 
2024-May-20_14:32:54.100, 8mS, 80nA,103,164,199,222,155,95,114,2241, 
2024-May-20_14:32:54.230, 8mS, 80nA,105,166,201,224,156,97,115,2359, 
2024-May-20_14:32:54.350, 8mS, 80nA,106,167,201,224,156,96,115,2349, 
2024-May-20_14:32:54.480, 8mS, 80nA,103,165,200,222,155,95,114,2268, 
2024-May-20_14:32:54.600, 8mS, 80nA,104,165,200,223,157,97,116,2371, 
2024-May-20_14:32:54.730, 8mS, 80nA,104,165,200,222,155,95,114,2287, 
2024-May-20_14:32:54.850, 8mS, 80nA,103,164,199,222,154,94,114,2245, 
2024-May-20_14:32:54.980, 8mS, 80nA,107,168,202,225,156,97,115,2350, 
2024-May-20_14:32:55.100, 8mS, 80nA,105,166,200,222,155,95,115,2317, 
2024-May-20_14:32:55.230, 8mS, 80nA,105,166,200,224,156,96,115,2299, 
2024-May-20_14:32:55.350, 8mS, 80nA,105,166,201,225,156,96,115,2311, 
2024-May-20_14:32:55.480, 8mS, 80nA,103,164,199,221,155,95,114,2257, 
2024-May-20_14:32:55.600, 8mS, 80nA,104,165,200,223,155,95,115,2265, 
2024-May-20_14:32:55.730, 8mS, 80nA,107,167,201,225,156,96,115,2362, 
2024-May-20_14:32:55.850, 8mS, 80nA,104,165,200,222,155,95,115,2287, 
2024-May-20_14:32:55.980, 8mS, 80nA,103,165,199,222,156,96,115,2329, 
2024-May-20_14:32:56.100, 8mS, 80nA,106,167,202,225,156,96,115,2341, 
2024-May-20_14:32:56.230, 8mS, 80nA,102,164,199,222,155,95,114,2239, 
2024-May-20_14:32:56.350, 8mS, 80nA,104,166,201,224,156,95,115,2291, 
2024-May-20_14:32:56.480, 8mS, 80nA,107,167,202,225,156,97,116,2355, 
2024-May-20_14:32:56.600, 8mS, 80nA,103,164,199,222,155,95,114,2254, 
2024-May-20_14:32:56.730, 8mS, 80nA,103,165,200,223,157,97,116,2362, 
2024-May-20_14:32:56.850, 8mS, 80nA,107,168,202,226,157,97,116,2360, 
2024-May-20_14:32:56.980, 8mS, 80nA,102,164,199,222,155,95,114,2238, 
2024-May-20_14:32:57.100, 8mS, 80nA,103,164,199,222,157,97,116,2330, 
2024-May-20_14:32:57.230, 8mS, 80nA,105,166,201,223,156,96,115,2325, 
2024-May-20_14:32:57.350, 8mS, 80nA,102,164,199,222,155,95,114,2237, 
2024-May-20_14:32:57.480, 8mS, 80nA,105,167,201,225,156,96,115,2300, 
2024-May-20_14:32:57.600, 8mS, 80nA,107,167,202,225,156,96,115,2363, 
2024-May-20_14:32:57.730, 8mS, 80nA,103,165,200,223,156,95,115,2250, 
2024-May-20_14:32:57.850, 8mS, 80nA,104,166,200,224,157,97,116,2360, 
2024-May-20_14:32:57.980, 8mS, 80nA,105,166,201,223,156,96,115,2308, 
2024-May-20_14:32:58.100, 8mS, 80nA,103,165,200,223,155,95,115,2244, 
2024-May-20_14:32:58.230, 8mS, 80nA,106,167,202,225,156,96,115,2333, 
2024-May-20_14:32:58.350, 8mS, 80nA,106,167,201,224,156,96,115,2340, 
2024-May-20_14:32:58.480, 8mS, 80nA,103,165,199,222,155,95,115,2281, 
2024-May-20_14:32:58.600, 8mS, 80nA,104,166,201,224,156,96,115,2292, 
2024-May-20_14:32:58.730, 8mS, 80nA,104,165,200,222,155,95,115,2277, 
2024-May-20_14:32:58.850, 8mS, 80nA,104,165,200,222,155,95,114,2255, 
2024-May-20_14:32:58.980, 8mS, 80nA,107,168,203,227,157,97,116,2366, 
2024-May-20_14:32:59.100, 8mS, 80nA,105,166,201,223,156,96,115,2311, 
2024-May-20_14:32:59.230, 8mS, 80nA,103,165,200,222,157,96,116,2323, 
2024-May-20_14:32:59.350, 8mS, 80nA,106,168,202,226,157,97,116,2338, 
2024-May-20_14:32:59.480, 8mS, 80nA,103,165,200,223,155,95,115,2257, 
2024-May-20_14:32:59.600, 8mS, 80nA,103,165,200,223,157,96,116,2292, 
2024-May-20_14:32:59.730, 8mS, 80nA,107,168,203,226,157,97,116,2375, 
2024-May-20_14:32:59.850, 8mS, 80nA,104,166,201,223,156,96,115,2281, 
2024-May-20_14:32:59.980, 8mS, 80nA,104,166,201,224,157,97,116,2362, 
2024-May-20_14:33:00.100, 8mS, 80nA,107,168,203,226,157,97,116,2369, 
2024-May-20_14:33:00.230, 8mS, 80nA,103,165,200,223,156,95,115,2249, 
2024-May-20_14:33:00.350, 8mS, 80nA,103,165,200,223,157,96,115,2325, 
2024-May-20_14:33:00.480, 8mS, 80nA,107,168,202,226,157,97,116,2356, 
2024-May-20_14:33:00.600, 8mS, 80nA,103,165,200,223,156,95,115,2258, 
2024-May-20_14:33:00.730, 8mS, 80nA,104,166,201,224,156,96,115,2289, 
2024-May-20_14:33:00.850, 8mS, 80nA,108,169,203,227,158,97,116,2378, 
2024-May-20_14:33:00.981, 8mS, 80nA,103,165,201,223,156,95,115,2258, 
2024-May-20_14:33:01.101, 8mS, 80nA,103,165,201,224,156,95,115,2264, 
2024-May-20_14:33:01.231, 8mS, 80nA,105,167,201,224,156,96,115,2323, 
2024-May-20_14:33:01.351, 8mS, 80nA,103,165,200,223,155,95,115,2248, 
2024-May-20_14:33:01.481, 8mS, 80nA,106,168,203,226,157,97,116,2333, 
2024-May-20_14:33:01.601, 8mS, 80nA,106,167,202,225,157,97,116,2351, 
2024-May-20_14:33:01.731, 8mS, 80nA,103,165,200,223,156,96,116,2284, 
2024-May-20_14:33:01.851, 8mS, 80nA,105,167,202,225,157,96,116,2299, 
2024-May-20_14:33:01.981, 8mS, 80nA,104,166,201,223,156,96,115,2289, 
2024-May-20_14:33:02.101, 8mS, 80nA,104,166,200,223,156,96,115,2261, 
2024-May-20_14:33:02.231, 8mS, 80nA,107,168,203,226,157,97,116,2367, 
2024-May-20_14:33:02.351, 8mS, 80nA,106,167,202,225,156,96,116,2324, 
2024-May-20_14:33:02.481, 8mS, 80nA,103,165,200,223,156,95,115,2253, 
2024-May-20_14:33:02.601, 8mS, 80nA,106,168,203,226,157,97,116,2338, 
2024-May-20_14:33:02.731, 8mS, 80nA,104,166,201,224,156,96,115,2265, 
2024-May-20_14:33:02.851, 8mS, 80nA,104,166,202,225,157,96,116,2287, 
2024-May-20_14:33:02.981, 8mS, 80nA,108,169,204,228,158,98,117,2385, 
2024-May-20_14:33:03.102, 8mS, 80nA,104,166,201,224,156,96,116,2293, 
2024-May-20_14:33:03.232, 8mS, 80nA,103,166,201,224,156,95,115,2262, 
2024-May-20_14:33:03.352, 8mS, 80nA,106,167,202,225,157,97,116,2337, 
2024-May-20_14:33:03.482, 8mS, 80nA,106,167,202,225,156,95,115,2253, 
2024-May-20_14:33:03.602, 8mS, 80nA,106,168,203,227,158,97,116,2323, 
2024-May-20_14:33:03.732, 8mS, 80nA,107,169,203,226,157,97,116,2368, 
2024-May-20_14:33:03.852, 8mS, 80nA,104,166,201,224,156,96,115,2268, 
2024-May-20_14:33:03.982, 8mS, 80nA,105,167,203,226,158,97,116,2290, 
2024-May-20_14:33:04.102, 8mS, 80nA,105,167,202,225,157,97,116,2314, 
2024-May-20_14:33:04.232, 8mS, 80nA,105,167,202,225,157,96,116,2262, 
2024-May-20_14:33:04.352, 8mS, 80nA,107,169,204,227,158,97,117,2357, 
2024-May-20_14:33:04.482, 8mS, 80nA,107,168,203,227,158,97,117,2347, 
2024-May-20_14:33:04.602, 8mS, 80nA,103,166,202,224,157,96,116,2257, 
2024-May-20_14:33:04.732, 8mS, 80nA,105,167,203,226,158,97,116,2311, 
2024-May-20_14:33:04.852, 8mS, 80nA,104,166,202,224,157,96,116,2283, 
2024-May-20_14:33:04.982, 8mS, 80nA,104,166,202,224,157,96,116,2267, 
2024-May-20_14:33:05.102, 8mS, 80nA,108,170,205,229,159,98,117,2377, 
2024-May-20_14:33:05.232, 8mS, 80nA,105,167,202,225,157,96,116,2307, 
2024-May-20_14:33:05.352, 8mS, 80nA,103,166,201,224,157,96,116,2249, 
2024-May-20_14:33:05.482, 8mS, 80nA,107,169,204,228,158,98,117,2344, 
2024-May-20_14:33:05.602, 8mS, 80nA,107,168,203,226,157,96,116,2256, 
2024-May-20_14:33:05.732, 8mS, 80nA,104,166,202,224,157,96,116,2263, 
2024-May-20_14:33:05.852, 8mS, 80nA,107,169,204,227,158,98,117,2378, 
2024-May-20_14:33:05.982, 8mS, 80nA,105,167,202,225,157,96,116,2295, 
2024-May-20_14:33:06.108, 8mS, 80nA,104,167,203,226,158,96,116,2282, 
2024-May-20_14:33:06.228, 8mS, 80nA,108,170,205,228,159,98,117,2388, 
2024-May-20_14:33:06.350, 8mS, 80nA,106,168,203,226,157,96,116,2266, 
2024-May-20_14:33:06.480, 8mS, 80nA,104,167,202,226,157,96,116,2269, 
2024-May-20_14:33:06.600, 8mS, 80nA,107,169,205,228,159,97,117,2359, 
2024-May-20_14:33:06.732, 8mS, 80nA,104,167,203,225,157,96,116,2277, 
2024-May-20_14:33:06.852, 8mS, 80nA,104,167,202,225,158,97,116,2308, 
2024-May-20_14:33:06.982, 8mS, 80nA,109,171,206,230,159,98,118,2397, 
2024-May-20_14:33:07.102, 8mS, 80nA,105,168,203,226,158,97,116,2304, 
2024-May-20_14:33:07.232, 8mS, 80nA,105,168,204,227,158,97,117,2288, 
2024-May-20_14:33:07.352, 8mS, 80nA,107,169,204,227,158,97,117,2347, 
